week_start,total_orders,total_gmv,aov,cancellation_rate,avg_review_score,avg_delivery_days,on_time_delivery_rate
2017-11-06,1217,186758.8500000002,153.4583812654069,0.020542317173377157,4.075833333333334,12.834760273972602,0.940068493150685
2017-11-13,1313,206059.04999999987,156.937585681645,0.02284843869002285,4.070601851851852,13.621922160444797,0.9015091342335186
2017-11-20,3008,475127.3200000007,157.954561170213,0.01163563829787234,3.778190411883862,16.588679245283018,0.8061749571183533
2017-11-27,2098,312624.72000000015,149.01082936129654,0.010009532888465206,3.848792270531401,16.22336265884653,0.8333333333333334
2017-12-04,1692,259480.19000000015,153.35708628841616,0.017139479905437353,3.962673088500903,16.02636419374617,0.8804414469650521
2017-12-11,1401,218544.38999999996,155.99171306209848,0.0035688793718772305,4.0087082728592165,15.03218727139722,0.9370885149963424
2017-12-18,978,151002.43999999992,154.3992229038854,0.0081799591002045,4.117860851505712,15.001050420168067,0.9317226890756303
2017-12-25,877,119398.71000000004,136.14448118586094,0.005701254275940707,4.1545559400230685,14.140023337222871,0.9638273045507585
2018-01-01,1383,213373.68000000005,154.28321041214755,0.008676789587852495,4.070644216691069,13.67337807606264,0.959731543624161
2018-01-08,1785,276873.4699999999,155.11118767506997,0.00784313725490196,4.096371882086168,13.811277330264671,0.9545454545454546
2018-01-15,1750,261093.2499999997,149.1961428571427,0.009142857142857144,4.016569767441861,13.82394366197183,0.9237089201877934
2018-01-22,1591,247363.0999999994,155.47649277184124,0.01571338780641106,4.003826530612245,14.1126213592233,0.9158576051779935
2018-01-29,1598,233194.99000000008,145.9292803504381,0.016896120150187734,4.050664977834072,15.55349135169763,0.9212043561819346
2018-02-05,1584,237209.35999999943,149.75338383838348,0.019570707070707072,3.9342359767891684,16.504218040233614,0.9033095392602206
2018-02-12,1640,227344.9899999994,138.62499390243866,0.01768292682926829,3.859676415681394,15.989968652037618,0.8526645768025078
2018-02-19,1756,249444.47999999975,142.05266514806362,0.011958997722095672,3.748249708284714,17.489498249708284,0.7864644107351225
